id,location,state,file,fileSource,latitude,longitude,Tout,ToutDailyVar,ToutAnnualVar,CDD18,CDD25,radDirNorm,radDiffHoriz,windSpeedMet,elevation,CDD18study
204,Juara,MT,BRA_MT_Juara.866250_INMET.epw,INMET,-11.26,-57.52,25.8822032,11.67835616,15.23333333,2900.8875,822.4041667,80.13378995,99.0902968,1.085011416,260,2563.620833
205,Juína,MT,BRA_MT_Juina.866240_INMET.epw,INMET,-11.38,-58.74,24.84584475,9.480547945,11.1625,2506.175,515.25,73.37020548,102.3706621,1.076050228,200,2205.658333
206,Nova Maringá,MT,BRA_MT_Nova.Maringa.866630_INMET.epw,INMET,-13.04,-57.09,26.33195205,11.51561644,14.2,3057.729167,917.7333333,67.11050228,101.3695205,1.446050228,353,2697.6375
207,Novo Mundo,MT,BRA_MT_Novo.Mundo.866430_INMET.epw,INMET,-12.52,-58.23,24.77228311,10.17808219,11.64583333,2485.870833,565.125,89.14121005,97.94828767,2.583869863,431,2185.629167
208,Paranatinga,MT,BRA_MT_Paranatinga.866840_INMET.epw,INMET,-14.43,-54.05,24.45489726,11.94164384,10.99583333,2419.575,612.0083333,102.0167808,92.44189498,1.825490868,474,2156.075
209,Pontes de Lacerda,MT,BRA_MT_Pontes.de.Lacerda.867020_INMET.epw,INMET,-15.25,-59.35,25.33745434,10.83205479,19.6375,2714.870833,705.3833333,86.84143836,93.29474886,1.314155251,256,2378.879167
210,Porto Estrela,MT,BRA_MT_Porto.Estrela.867040_INMET.epw,INMET,-15.32,-57.23,25.39585616,12.27013699,16.89583333,2754.229167,820.6875,88.03116438,99.27865297,1.086324201,145,2414.695833
211,Querência,MT,BRA_MT_Querencia.866470_INMET.epw,INMET,-12.63,-52.22,25.02890411,11.03369863,8.966666667,2575.104167,625.2541667,92.47328767,96.00513699,1.282146119,382,2265.8625
212,Rondonópolis,MT,BRA_MT_Rondonopolis.867280_INMET.epw,INMET,-16.47,-54.64,25.49202055,12.14027397,15.55833333,2778.520833,781.7125,87.62009132,97.50878995,2.209121005,284,2471.229167
213,Salto do Céu,MT,BRA_MT_Salto.do.Ceu.867030_INMET.epw,INMET,-15.12,-58.13,24.56363014,11.05808219,19.875,2459.4875,614.1083333,77.53481735,95.74315068,1.632408676,303,2158.095833
